Testavimo Laikas;Studentu Kiekis;Studentu generavimo laikas;Sugeneruotu duomenu skaitymo laikas;Rezultatu irasymo laikas;Rezultatu skaitymo laikas;Rezultatu skaidymo laikas;Skaidymo irasymas;Bendras Laikas;;;Darbas su vektoriu;;;;;;;
2024-11-21 13:12:18;1000;4;11;3;21;0;3;42
2024-11-21 13:12:18;10000;22;33;25;116;4;26;226
2024-11-21 13:12:18;100000;206;202;188;838;38;236;1708
2024-11-21 13:12:20;1000000;2000;1902;1905;8058;443;2115;16423
2024-11-21 13:12:37;1000000;1715;1898;1907;8246;451;2143;16360
2024-11-21 13:12:53;1000;3;9;4;13;0;2;31
2024-11-21 13:12:53;10000;24;32;20;89;3;22;190
2024-11-21 13:12:54;100000;189;200;189;816;42;214;1650
2024-11-21 13:12:55;1000000;1804;1931;1932;8675;451;2141;16934
2024-11-21 13:13:12;1000000;1744;1909;1930;8445;607;2503;17138
2024-11-21 13:14:31;1000;5;13;3;20;0;4;45
2024-11-21 13:14:31;10000;28;49;26;110;4;30;247
2024-11-21 13:14:32;100000;213;315;206;1038;68;295;2135
2024-11-21 13:14:34;1000000;1878;3225;2066;8493;875;2564;19101
2024-11-21 13:14:54;1000000;1844;3181;2098;8558;839;2350;18870
2024-11-21 13:15:14;1000;5;17;2;17;0;3;44
2024-11-21 13:15:14;10000;28;45;20;92;5;29;219
2024-11-21 13:15:14;100000;215;457;244;844;53;235;2048
2024-11-21 13:15:17;1000000;1853;3162;2138;8568;886;2431;19038
2024-11-21 13:15:37;1000000;1888;3256;2113;8925;901;2452;19535
